epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,9103.46,2.34687,1.17825,0.00479,0.73242,0.43372,0.47623,0.23759,2.13535,1.02704,0.00526,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
67,9219.02,2.35128,1.18367,0.0049,0.73295,0.43478,0.47722,0.2384,2.13482,1.02563,0.00526,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,9335.32,2.36042,1.18499,0.00487,0.73455,0.43422,0.47762,0.23878,2.13377,1.02357,0.00525,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
69,9451.04,2.34383,1.1818,0.00487,0.73689,0.43412,0.47773,0.23889,2.13319,1.02326,0.00525,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
70,9566.05,2.34242,1.17812,0.00488,0.73637,0.4342,0.4778,0.23882,2.13142,1.025,0.00524,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169
71,9683.02,2.34151,1.17962,0.00483,0.738,0.4337,0.47831,0.2391,2.13174,1.02461,0.00524,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
72,9793.28,2.33384,1.17381,0.00482,0.73716,0.43457,0.47861,0.23931,2.1319,1.02416,0.00524,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971
73,9902.91,2.32975,1.17739,0.00486,0.73695,0.43566,0.4804,0.23948,2.13211,1.0227,0.00524,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
74,10015,2.35081,1.18492,0.00478,0.73785,0.43571,0.48069,0.23979,2.13201,1.02161,0.00524,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773
75,10123,2.34199,1.17656,0.00485,0.73558,0.43679,0.4806,0.24003,2.13141,1.02025,0.00523,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
76,10236.2,2.33496,1.17118,0.00485,0.73594,0.43725,0.48072,0.24026,2.1302,1.02119,0.00523,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
77,10345.4,2.31859,1.16866,0.00486,0.73359,0.43805,0.48081,0.24029,2.13041,1.02038,0.00523,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
78,10457.4,2.3495,1.17924,0.00481,0.7352,0.43826,0.48166,0.24079,2.1294,1.02013,0.00523,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377
79,10567.8,2.3346,1.17711,0.00476,0.73517,0.43876,0.4821,0.24085,2.12877,1.02114,0.00523,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
80,13510.9,2.35226,1.18198,0.00484,0.7352,0.43868,0.48193,0.24101,2.12857,1.02095,0.00522,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179
81,13621.5,2.3353,1.17549,0.00485,0.73462,0.43901,0.48225,0.24109,2.12756,1.0216,0.00522,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
82,13731.1,2.34829,1.18844,0.00484,0.73726,0.43861,0.48206,0.24108,2.12791,1.02118,0.00522,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981
83,13847.3,2.33932,1.1763,0.00481,0.73635,0.43858,0.48233,0.24138,2.12708,1.02097,0.00522,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
84,13963.7,2.30921,1.16152,0.00485,0.73663,0.43868,0.4825,0.24135,2.12671,1.02187,0.00522,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783
85,14088,2.32969,1.17495,0.00482,0.73691,0.43884,0.48269,0.2415,2.12654,1.0209,0.00521,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
86,14234.2,2.32621,1.17494,0.00485,0.7373,0.43881,0.4828,0.24159,2.12599,1.0214,0.00521,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
87,14356.7,2.34066,1.1704,0.00479,0.73954,0.43838,0.48297,0.24167,2.12629,1.02034,0.00521,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
88,14478.3,2.34081,1.16949,0.00478,0.73997,0.43808,0.48327,0.2419,2.1257,1.02065,0.00521,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387
89,14600.6,2.32084,1.16789,0.0048,0.73848,0.43871,0.48332,0.24237,2.12567,1.02062,0.00521,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
90,14724.3,2.34114,1.17051,0.00478,0.73893,0.43866,0.48364,0.24247,2.12527,1.02094,0.0052,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189
91,14848.6,2.3223,1.16252,0.00477,0.74081,0.43848,0.48383,0.24264,2.12503,1.02068,0.0052,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
92,14967.4,2.33325,1.17478,0.00477,0.7406,0.4385,0.48366,0.24256,2.12512,1.02098,0.0052,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991
93,15080.5,2.32347,1.16858,0.0048,0.73873,0.43934,0.48394,0.24286,2.1245,1.02008,0.0052,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
94,15195.6,2.33343,1.16465,0.00477,0.7395,0.43931,0.48429,0.24285,2.12458,1.01968,0.0052,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793
95,15308.3,2.31597,1.1615,0.00478,0.7399,0.43863,0.48425,0.24312,2.12432,1.01913,0.0052,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
96,15421,2.31901,1.1588,0.00475,0.73905,0.43906,0.48468,0.2433,2.12327,1.01898,0.0052,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
97,15538,2.32145,1.159,0.00477,0.73964,0.43853,0.48443,0.24321,2.12319,1.01974,0.00519,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
98,15650.3,2.32171,1.16258,0.00477,0.73953,0.43863,0.48453,0.24301,2.12295,1.01973,0.00519,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397
99,15766.4,2.31258,1.15322,0.00477,0.73891,0.43866,0.48442,0.24304,2.12289,1.01957,0.00519,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
100,15879.8,2.31691,1.16212,0.00475,0.73782,0.43881,0.48447,0.24317,2.12281,1.0196,0.00519,0.0270597,0.0090199,0.0270597,0.0090199,0.0270597,0.0090199,0.0270597,0.0090199
101,15996.3,2.31622,1.16078,0.00474,0.73711,0.43848,0.48419,0.24315,2.12248,1.02043,0.00519,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
102,16104.2,2.32702,1.15212,0.00475,0.73736,0.43891,0.4843,0.24311,2.12231,1.02101,0.00519,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001
103,16215.4,2.33529,1.15788,0.00477,0.73792,0.43884,0.48442,0.24306,2.12204,1.02093,0.00519,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
104,16330.1,2.32912,1.15434,0.00472,0.73593,0.43984,0.48457,0.24352,2.12225,1.02015,0.00519,0.0269409,0.0089803,0.0269409,0.0089803,0.0269409,0.0089803,0.0269409,0.0089803
105,16442,2.31182,1.1512,0.00476,0.73598,0.44016,0.48466,0.24351,2.12198,1.0198,0.00519,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
106,16558.3,2.30542,1.15786,0.00477,0.73633,0.44031,0.48498,0.24344,2.12194,1.01937,0.00519,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
107,16671.5,2.30735,1.14984,0.00477,0.73411,0.44098,0.48504,0.2435,2.12158,1.01953,0.00518,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
108,16786.2,2.31783,1.15081,0.00472,0.73438,0.44113,0.48534,0.24389,2.12168,1.01851,0.00518,0.0268221,0.0089407,0.0268221,0.0089407,0.0268221,0.0089407,0.0268221,0.0089407
109,16900.1,2.31477,1.15838,0.00479,0.73616,0.44135,0.48588,0.24377,2.12127,1.01823,0.00518,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
110,17018.2,2.31144,1.15643,0.00474,0.73498,0.44141,0.48584,0.24376,2.12098,1.01941,0.00518,0.0267627,0.0089209,0.0267627,0.0089209,0.0267627,0.0089209,0.0267627,0.0089209
111,17134.5,2.31075,1.14902,0.00475,0.73421,0.44206,0.48591,0.24385,2.1209,1.01923,0.00518,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
112,17251.2,2.303,1.14711,0.00473,0.73311,0.4414,0.48577,0.24381,2.1217,1.01888,0.00518,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011,0.0267033,0.0089011
113,17368.2,2.31238,1.1529,0.00469,0.73491,0.44135,0.48583,0.24403,2.12054,1.0186,0.00517,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
114,17481.5,2.31133,1.15551,0.00476,0.73502,0.44176,0.48615,0.2442,2.12076,1.01815,0.00517,0.0266439,0.0088813,0.0266439,0.0088813,0.0266439,0.0088813,0.0266439,0.0088813
115,17598.9,2.29615,1.15063,0.00479,0.73599,0.44159,0.48626,0.24421,2.12037,1.01851,0.00517,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
116,17711.8,2.30899,1.15043,0.00469,0.73556,0.44208,0.48629,0.24425,2.12085,1.01835,0.00517,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
117,17819.3,2.31989,1.15527,0.00474,0.73655,0.44144,0.48629,0.24417,2.12072,1.01858,0.00517,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
118,17928.2,2.32736,1.1561,0.00471,0.73622,0.44168,0.48648,0.24418,2.11999,1.01898,0.00517,0.0265251,0.0088417,0.0265251,0.0088417,0.0265251,0.0088417,0.0265251,0.0088417
119,18033.7,2.30476,1.15039,0.00475,0.7359,0.44201,0.48659,0.24443,2.11978,1.01867,0.00517,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
120,18142.6,2.31142,1.14445,0.00477,0.73564,0.44241,0.48685,0.24445,2.11948,1.01831,0.00517,0.0264657,0.0088219,0.0264657,0.0088219,0.0264657,0.0088219,0.0264657,0.0088219
121,18250.1,2.31586,1.15518,0.00472,0.73621,0.44234,0.48695,0.2445,2.11894,1.0183,0.00517,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
122,18360.8,2.30626,1.13517,0.00469,0.73645,0.44215,0.487,0.24447,2.11864,1.01855,0.00517,0.0264063,0.0088021,0.0264063,0.0088021,0.0264063,0.0088021,0.0264063,0.0088021
123,18467.5,2.29681,1.14713,0.00466,0.73652,0.44206,0.48699,0.24439,2.11859,1.01856,0.00517,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
124,25319.6,2.30977,1.14536,0.00469,0.73773,0.44189,0.48702,0.24443,2.11832,1.01892,0.00517,0.0263469,0.0087823,0.0263469,0.0087823,0.0263469,0.0087823,0.0263469,0.0087823
125,25429.2,2.30452,1.14502,0.00471,0.73788,0.44216,0.48742,0.2445,2.1186,1.01896,0.00517,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
126,25540.9,2.31159,1.15731,0.00472,0.73756,0.44199,0.48745,0.24449,2.1191,1.01835,0.00517,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
127,25652.9,2.29687,1.14881,0.00476,0.7379,0.44178,0.48732,0.24449,2.11926,1.01862,0.00517,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
128,25764,2.30247,1.1517,0.0047,0.73779,0.44153,0.48711,0.24442,2.11931,1.01827,0.00517,0.0262281,0.0087427,0.0262281,0.0087427,0.0262281,0.0087427,0.0262281,0.0087427
